movie_title,word_count,lexical_diversity,sentiment,subjectivity,avg_sentence_length
A Dangerous Method_1571222,15250,0.29278688524590163,0.07019709507971707,0.4667515621235132,9.648546144121365
A Death in the Gunj_5918074,19798,0.27129002929588847,0.03538470589417509,0.42074808745046843,7.083988563259471
A Dry White Season_0097243,30993,0.22763204594585873,0.0067946969696969645,0.4573380317460317,7.956688877498719
A Fantastic Woman_5639354,9308,0.324881822088526,0.0581631675865496,0.49364857787446564,6.477746870653686
A Few Good Men_0104257,25064,0.21353335461219278,0.022080545438390213,0.4513255003924649,8.23951507208388
A Few Good Men_0849162,6682,0.30125710865010474,0.002735405249856122,0.3918187448389762,9.37290502793296
A Fish Called Wanda_0095159,21331,0.30926820120950727,0.07444175463831389,0.49572832604747485,5.1216150870406185
A Good Year_0401445,20327,0.36207999212869585,0.09375736733289672,0.4627411036862755,7.4972637723458595
A Goofy Movie_0113198,18620,0.30832438238453275,0.1396098735377734,0.5487125948439505,8.814292430653502
A Hard Day s Night_0058182,17652,0.27175390890550644,0.029739759639702757,0.47410456976845433,8.527334300919206
A Hard Days Night_0581729,4515,0.38250276854928017,0.021786853082984052,0.4733150667674477,9.068
A History of Violence_0399146,20032,0.22983226837060702,0.03209487520690353,0.47489723030289077,7.007692307692308
A Message for Peace Making Hotel Rwanda_0476811,20512,0.24965873634945399,0.048092682516938226,0.43743572199351505,7.279787234042553
A Mighty Heart_0829459,15007,0.28053574998334113,0.05884569413429711,0.419824716337584,7.575025176233636
A Monster Calls_3416532,22880,0.25795454545454544,0.03296987544752273,0.48185340683938144,7.455336988068365
A Most Violent Year_5169360,24884,0.173967207844398,0.05890531065549287,0.46373139979553996,8.44523567310953
A Night at the Roxbury_0120770,6237,0.32259098925765595,0.03427980653260506,0.41431469856843034,7.082766439909297
A Nightmare on Elm Street 2 Freddy s Revenge_0089686,14119,0.2816771726042921,-0.032387870937713954,0.43119382623307306,12.221261884183232
A Nightmare on Elm Street 3 Dream Warriors_0093629,11093,0.337059406833138,-0.04138190492905401,0.46607053237535706,9.756140350877192
A Nightmare on Elm Street 3 Freddy s rache_12734734,22331,0.2740137029241861,0.0029385776130567694,0.48733296608296556,8.140471869328493
A Nightmare on Elm Street 4 The Dream Master_0095742,16279,0.2873026598685423,-0.023908621526793985,0.45760443220743613,8.588730911005792
A Nightmare on Elm Street 5 The Dream Child_0097981,20905,0.26998325759387704,-0.004917035497540253,0.4770664398569706,7.612938200216841
A Nightmare on Elm Street_0087800,23266,0.275552308089057,-0.007116979686979683,0.46602006623006614,8.562545989698307
A Perfect Getaway_0971209,18256,0.32750876424189307,0.10855682035455402,0.4751321541706154,7.309335443037975
A Perfect World_0107808,26658,0.25170680471153123,0.018709454776618145,0.3678742480394466,8.374019454032005
A Prayer Before Dawn_4080956,18015,0.3386067166250347,-0.061650322587822666,0.4787657625157626,7.743329097839898
A Quiet Place_6644200,15812,0.26201619023526435,0.02889181685930842,0.41186068762155686,7.704046806435885
A Scanner Darkly_0405296,25906,0.244962556936617,-0.014361471336740022,0.4775132917330371,8.293499043977056
A Separation_1832382,22911,0.1720570904805552,-0.014725008291972588,0.42545025345025334,7.358381502890174
A Serious Man_1019452,20179,0.28931066950790424,0.030069263643872007,0.42821965729326156,7.043203371970495
A Simple Favor_7040874,31265,0.2613145690068767,0.08285198024390739,0.5098330105840934,7.489545782263879
A Simple Plan_0120324,25909,0.2406113705662125,-0.02302609885374388,0.44871543179990264,9.564462504617659
A Single Man_1315981,16302,0.2355539197644461,0.07008352029025114,0.45165099145868376,8.709711846318037
A Snack to Remember_5293758,16845,0.2861383199762541,0.07330855907012108,0.4614364238401155,5.867013888888889
A Star Is Born_0075265,22016,0.22747093023255813,0.088447645383241,0.5131445266798458,7.529471890971039
ATM_1603257,18250,0.25726027397260276,-0.015371735244068907,0.4496234718776859,6.496107572540693
Aaranya Kaandam_1496729,14340,0.38563458856345884,-0.02472503244083221,0.4923411027568927,7.908593322386426
Abhishek Bachchan Rishi Kapoor and Supriya Pathak_6321142,21230,0.30400376825247294,0.06014080110292733,0.4947907942514113,6.892207792207792
About Alex_2667918,14754,0.29137860919072794,0.06671387560664857,0.5208409458914852,5.873508353221957
About Schmidt_0257360,23739,0.2630270862294115,0.09896676325641282,0.47579261738582534,8.818722139673106
About Time_2194499,14305,0.2850052429220552,0.12529611736365573,0.5463117131855133,6.1648730090400345
Above the Law_0094602,23680,0.28099662162162165,0.003973293083975893,0.42727484621757805,8.585171790235082
Absolute Power_0118548,21705,0.22990094448283804,0.06619301099288619,0.4831865333336655,9.565888056412517
Ace Ventura Pet Detective_0109040,14374,0.31800473076387925,0.07357830188519099,0.48293483327913156,7.727321524422973
Ad Astra_2935510,21584,0.3372405485544848,0.06503456573808152,0.4966063932595185,8.621965777954635
